PLAN START DATE;BATCH NO;DFF1;DFF2;DFF3;ITEM CODE;ITEM DESC;STATUS;PLAN QTY BOX;ACTUAL QTY BOX
14/01/2022;020STTRPPI2022/TS-SWT-GULAAREN;Trial sesuai TOL 009F/TOL/RPP/I/2022 PIC: Gina Ashfia Ananda;;;TRIALRDTS510;TRIALRD TS SWT GULA AREN (SWEAR);Closed;362,65;321,34
26/01/2022;031STTREAI2022/NS-ASO;Trial sesuai TOL 012F/TOL/RKA/I/2022 PIC: Ibnu Mahendra;;;TRIALRDNS351;TRIALRD NS ASO;Closed;850,23;850,23
21/01/2022;033STTREAI2022/TS-SWEAR;Trial sesuai TOL 014F/TOL/RKA/I/2022 PIC: Ibnu Mahendra;Tidak ada persiapan di gd Baku. inventory trial berasal dari Trial sebelumnya TOL 009F;;TRIALRDTS512;TRIALRD TS SWEAR;Closed;80;70,96
03/02/2022;054STTREAI2022/TS-SWT-DIABETICS;Trial sesuai TOL 026F/TOL/RKA/I/2022 PIC: Ibnu Mahendra;FILLING TGL 04 Feb;A-F2202000787D;TRIALRDTS521;TRIALRD TS SWT DIABETICS 2G;Closed;250;250
03/02/2022;055STTREAI2022/TS-SWT-DIABETICS;Trial sesuai TOL 027F/TOL/RKA/I/2022 PIC: Ibnu Mahendra;FILLING TGL 04 Feb;A-F2202000788D;TRIALRDTS522;TRIALRD TS SWT DIABETICS 2G;Closed;250;250
03/02/2022;056STTREAI2022/TS-SWT-DIABETICS;Trial sesuai TOL 028F/TOL/RKA/I/2022 PIC: Ibnu Mahendra;FILLING TGL 04 Feb;A-F2202000789D;TRIALRDTS523;TRIALRD TS SWT DIABETICS 2G;Closed;250;250
03/02/2022;057STTREAI2022/TS-SWT-DIABETICS;Trial sesuai TOL 029F/TOL/RKA/I/2022 PIC: Ibnu Mahendra;FILLING TGL 04 Feb;A-F2202000790D;TRIALRDTS524;TRIALRD TS SWT DIABETICS 2G;Closed;250;250
11/02/2022;063STTREAII2022/TS-SWT-CLASSIC;Trial sesuai TOL 032F/TOL/RKA/II/2022 PIC: Ibnu Mahendra;;A-F2202001290D;TRIALRDTS525;TRIALRD TS SWT CLASSIC;WIP;75;75
16/02/2022;067STTREAII2022/TS-SWT-DIABETIC;Trial sesuai TOL 034F/TOL/RKA/II/2022 PIC: Ibnu Mahendra;;;TRIALRDTS527;TRIALRD TS SWT DIABETIC 2G;Closed;600,01;600,01
04/03/2022;142STTREAII2022/NS-JUPE PLS;Trial sesuai TOL: 055F/TOL/RKA/II/2022 PIC: Edwin Budi;;;TRIALRDNS385;TRIAL RD NS JUPE PLS;Closed;829,44;796,32
04/03/2022;147STTRPEII2022/SWT-TBL-SCRL-FG;Trial sesuai TOL 064E/TOL/RPE/II/2022 PIC: Supriyono;;;TRIALRDGLT78;TRIALRD TS SUCRALOSE TABLET;WIP;5;0
04/03/2022;148STTRPEII2022/SWT-TBL-STVA-FG;Trial sesuai TOL 065E/TOL/RPE/II/2022 PIC: Supriyono;;;TRIALRDGLT80;TRIALRD TS STEVIA TABLET;WIP;5;0
01/03/2022;149STTRPEII2022/TS-STEVIA-TBLT;Trial RD PIC: Supriyono. Meminta hasil forming;;;TRIALRDGLT75;TRIALRD FORMING TS SWEETENER STEVIA TABLET;WIP;0,6;0,6
07/03/2022;150STTREAII2022/TS-SWT-DIABTX;Trial sesuai TOL 060F/TOL/RKA/II/2022 PIC: Edwin Budi;;A-F2203000512D;TRIALRDTS538;TRIALRD TS SWT DIABTX;Closed;250;255,6
09/03/2022;150STTRPEII2022/TS-SCRLS-TBLT;Trial RD PIC: Supriyono. Meminta hasil forming;;;TRIALRDGLT76;TRIALRD FORMING TS SWEETENER SUCRALOSE TABLET;WIP;0,6;0,6
07/03/2022;151STTREAII2022/TS-SWT-DIABTX;Trial sesuai TOL 061F/TOL/RKA/II/2022 PIC: Edwin Budi;;A-F2203000513D;TRIALRDTS539;TRIALRD TS SWT DIABTX;Closed;250;245,9
07/03/2022;152STTREAII2022/TS-SWT-DIABTX;Trial sesuai TOL 062F/TOL/RKA/II/2022 PIC: Edwin Budi;;A-F2203000514D;TRIALRDTS540;TRIALRD TS SWT DIABTX;Closed;250;273,6
07/03/2022;153STTREAII2022/TS-SWT-DIABTX;Trial sesuai TOL 063F/TOL/RKA/II/2022 PIC: Edwin Budi;;A-F2203000786D;TRIALRDTS541;TRIALRD TS SWT DIABTX;Closed;250;248,7
09/03/2022;162STTREAIII2022/NS-C1000 FC;Trial sesuai TOL: 066F/TOL/RKA/III/2022 PIC: Ibnu Mahendra;;;TRIALRDNS387;TRIAL RD NS NUTRI C1000;Closed;767,96;740,58
14/03/2022;167STTREAIII2022/SWT-TBL-SCRL-FG;Trial sesuai TOL 069F/TOL/REA/III/2022 PIC: Henny Susanty;;;TRIALRDGLT82;TRIALRD TS SUCRALOSE TABLET;WIP;1;0,97
14/03/2022;168STTREAIII2022/SWT-TBL-STVA-FG;Trial sesuai TOL 070F/TOL/REA/III/2022 PIC: Henny Susanty;;;TRIALRDGLT84;TRIALRD TS STEVIA TABLET;WIP;1;0,77
06/04/2022;230STTREAIII2022/TS-SWT-DIABETIC;Trial sesuai TOL 096F/TOL/RKA/III/2022 PIC: Ibnu Mahendra;;A-F2204000563D;TRIALRDTS552;TRIALRD TS SWT DIABETICS;Pending;30.000,00;0
03/01/2022;F2112001694;IQ 011A1 : 1645 box | Stuffing : 12/12;;;5102900856IQ;TS SWT LOW CALORIE WITH SUCRALOSE HORECA LOOSEPACK STICK NEW 12PX125SX2G IRAQ;Closed;200;198
03/01/2022;F2201000001;-;;A;2102500125;TS SWT CLASSIC 50S (24D);Closed;204;192
03/01/2022;F2201000002;-;;A;2102500125;TS SWT CLASSIC 50S (24D);Closed;204;193,33
03/01/2022;F2201000003;-;;A;2102500125;TS SWT CLASSIC 50S (24D);Closed;204;197
03/01/2022;F2201000004;-;;A;2102500130;TS SWT 100S (12D);Closed;204;197
03/01/2022;F2201000005;-;;A;2102500130;TS SWT 100S (12D);Closed;204;201
03/01/2022;F2201000006;-;;A;2102500130;TS SWT 100S (12D);Closed;204;197
03/01/2022;F2201000007;-;;A;2103300125;TS SWT STEVIA 24DX50SX2.6G;Closed;192,29;187,83
03/01/2022;F2201000008;PK 001A1 : 356 box | Stuffing : 25/1 | Habiskan Blister KK Lama;;;5103202713PK;TS SWT STEVIA TABLET 2SBX10BLISTERX300TABLET PAKISTAN;Closed;55,5;51
03/01/2022;F2201000009;PK 001A1 : 356 box | Stuffing : 25/1 | Habiskan Blister KK Lama;;;5103202713PK;TS SWT STEVIA TABLET 2SBX10BLISTERX300TABLET PAKISTAN;Closed;55,5;50
03/01/2022;F2201000010;-;;A;5103202PCS;FORMING TS SWEETENER STEVIA TABLET;Closed;333.333,00;301.166,00
03/01/2022;F2201000011;-;;A;5103202PCS;FORMING TS SWEETENER STEVIA TABLET;Closed;333.333,00;321.666,00
04/01/2022;F2201000012;-;;A;2102500125;TS SWT CLASSIC 50S (24D);Closed;204;195
04/01/2022;F2201000013;-;;A;2102500125;TS SWT CLASSIC 50S (24D);Closed;204;198
04/01/2022;F2201000014;-;;A;2102500125;TS SWT CLASSIC 50S (24D);Closed;204;192
04/01/2022;F2201000015;-;;A;2102500130;TS SWT 100S (12D);Closed;204;197
04/01/2022;F2201000016;-;;A;2102500130;TS SWT 100S (12D);Closed;204;189,5
04/01/2022;F2201000017;-;;A;2102500130;TS SWT 100S (12D);Closed;204;201
04/01/2022;F2201000018;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;242
04/01/2022;F2201000019;IQ 011A1 : 1645 box | Stuffing : 12/12;;;5102900856IQ;TS SWT LOW CALORIE WITH SUCRALOSE HORECA LOOSEPACK STICK NEW 12PX125SX2G IRAQ;Closed;200;190
04/01/2022;F2201000020;PK 001A1 : 356 box | Stuffing : 25/1 | Habiskan Blister KK Lama;;;5103202713PK;TS SWT STEVIA TABLET 2SBX10BLISTERX300TABLET PAKISTAN;Closed;55,5;47
04/01/2022;F2201000021;PK 001A1 : 356 box | Stuffing : 25/1 | Habiskan Blister KK Lama;;;5103202713PK;TS SWT STEVIA TABLET 2SBX10BLISTERX300TABLET PAKISTAN;Closed;55,5;49
04/01/2022;F2201000022;-;;A;5103202PCS;FORMING TS SWEETENER STEVIA TABLET;Closed;333.333,00;321.666,00
04/01/2022;F2201000023;-;;A;5103202PCS;FORMING TS SWEETENER STEVIA TABLET;Closed;333.333,00;320.000,00
05/01/2022;F2201000024;-;;A;2102500130;TS SWT 100S (12D);Closed;204;194
05/01/2022;F2201000025;-;;A;2102500130;TS SWT 100S (12D);Closed;204;195
05/01/2022;F2201000026;-;;A;2102500130;TS SWT 100S (12D);Closed;204;191
05/01/2022;F2201000027;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;232,58
05/01/2022;F2201000028;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;243
05/01/2022;F2201000029;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;234,5
05/01/2022;F2201000030;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;243
05/01/2022;F2201000031;IQ 011A1 : 1645 box | Stuffing : 12/12;;;5102900856IQ;TS SWT LOW CALORIE WITH SUCRALOSE HORECA LOOSEPACK STICK NEW 12PX125SX2G IRAQ;Closed;200;196
05/01/2022;F2201000032;PK 001A1 : 356 box | Stuffing : 25/1 | Habiskan Blister KK Lama;;;5103202713PK;TS SWT STEVIA TABLET 2SBX10BLISTERX300TABLET PAKISTAN;Closed;55,5;52
05/01/2022;F2201000033;PK 001A1 : 356 box | Stuffing : 25/1 | Habiskan Blister KK Lama;;;5103202713PK;TS SWT STEVIA TABLET 2SBX10BLISTERX300TABLET PAKISTAN;Closed;55,5;53
05/01/2022;F2201000034;-;;A;5103202PCS;FORMING TS SWEETENER STEVIA TABLET;Closed;333.333,00;324.000,00
05/01/2022;F2201000035;-;;A;5103202PCS;FORMING TS SWEETENER STEVIA TABLET;Closed;333.333,00;320.000,00
06/01/2022;F2201000036;-;;A;2102500130;TS SWT 100S (12D);Closed;204;196
06/01/2022;F2201000038;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;242
06/01/2022;F2201000039;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;226,46
06/01/2022;F2201000040;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;237
06/01/2022;F2201000041;-;;A;2102900130;TS SWT DIABETICS 100S (12D);Closed;250;231
06/01/2022;F2201000042;-;;A;2102900130;TS SWT DIABETICS 100S (12D);Closed;250;229
06/01/2022;F2201000043;IQ 011A1 : 1645 box | Stuffing : 12/12;0,7;A-F2201000043K;5102900856IQ;TS SWT LOW CALORIE WITH SUCRALOSE HORECA LOOSEPACK STICK NEW 12PX125SX2G IRAQ;Closed;140;133
06/01/2022;F2201000043K;-;0,7;A-F2201000043K;5102900K;KOMA TS SWEETENER DIABETIC EKSPOR;Closed;-99.999,00;-99.999,00
06/01/2022;F2201000044;PK 001A1 : 430 box | Stuffing : 25/1 | Habiskan Blister KK Lama;;;5103202711PK;TS SWT STEVIA TABLET 2SBX10BLISTERX100TABLETS PAKISTAN;Closed;166,5;152
06/01/2022;F2201000045;PK 001A1 : 356 box | Stuffing : 25/1 | Habiskan Blister KK Lama;0,85;;5103202713PK;TS SWT STEVIA TABLET 2SBX10BLISTERX300TABLET PAKISTAN;Closed;47,17;46
06/01/2022;F2201000046;-;;A;5103202PCS;FORMING TS SWEETENER STEVIA TABLET;Closed;333.333,00;311.000,00
07/01/2022;F2201000052;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;242
07/01/2022;F2201000053;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;243
07/01/2022;F2201000054;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;235
07/01/2022;F2201000055;-;;A;2102900125;TS SWT DIABETICS 50S (24D);Closed;249,96;237
07/01/2022;F2201000056;-;;A;2102900130;TS SWT DIABETICS 100S (12D);Closed;250;234
07/01/2022;F2201000057;-;;A;2102900130;TS SWT DIABETICS 100S (12D);Closed;250;236
07/01/2022;F2201000058;-;;A;2102900130;TS SWT DIABETICS 100S (12D);Closed;250;241
07/01/2022;F2201000059;IQ 011A3 : 748 box | Stuffing : 12/12 | Habiskan Dus dan RML KK Lama;;;5103300130IQ;TS SWT STEVIA DIET STICK 12DX100SX1.5G IRAQ;Closed;333,33;310
